Domain,Website,Category,Topic,Authority Tier,Topical Relevance,Editorial Quality,Publication Opportunity,Submission URL,Contact,Contact Type,Free/Paid,Dofollow Status,Link Policy,Target POWLAB Asset,Contribution Pitch Angle,Status,Date Contacted,Follow-up Date,Published URL,Anchor Text,First Seen,Notes
power-eng.com,Power Engineering,Trade Journal (Clarion Events),Power Generation & Generators,A+,A+,A+,Contributed Technical Article / Case Study,https://www.power-eng.com/contact-us/,Editorial Team,Web Form / Editor,Free,UNKNOWN,Strict non-commercial; editorial links to whitepapers/models allowed if non-promotional,/home-energy/generator-size-calculator,"Why Standby Generators Stall on Inductive Compressor Starts: Mathematical Modeling of LRA and Non-Coincident Load Stacking",QUALIFIED_PROSPECT,,,,PowerLab Generator Sizing Study,2026-09-17,"Premier power generation journal since 1896; official media of POWERGEN International; requires human author bio and exclusivity"
energycentral.com,Energy Central,Power Industry Community & Media,Grid Modernization & Energy Storage,A,A+,A,Expert Contributor Article,https://energycentral.com/post-article,Matt Chester (Community Manager),hi@energycentral.com / service@energycentral.com,Free,UNKNOWN,Allows contextual citations to engineering research, open simulation tools, and benchmark datasets,/research/heat-pump-cop-degradation-and-auxiliary-heat-kinetics,"Thermodynamic Limits of Cold-Climate Heat Pumps: Quantifying Winter Grid Peak Surges from Auxiliary Resistance Strip Heat Staging",QUALIFIED_PROSPECT,,,,PowerLab HVAC Research,2026-09-17,"Active community of utility executives and power engineers; non-promotional technical thought leadership"
powerelectronicsnews.com,Power Electronics News (Aspencore),Electronics Engineering Journal,Power Converters & Inverters,A,A+,A,Technical Contributed Article,https://www.powerelectronicsnews.com/contact-us/,Aalyia Shaukat (Editor-in-Chief),Editorial Proposal,Free,UNKNOWN,Technical engineering articles; editorial references to underlying mathematical models permitted,/battery/inverter-size-calculator,"The Hidden Parasitic Drain: Quantifying Standby Inverter Quiescent Tare Losses in Residential Battery Energy Storage Systems",QUALIFIED_PROSPECT,,,,PowerLab Inverter Engine,2026-09-17,"Specialist publication for power semiconductor, inverter topology, and power conversion engineers"
electrical-engineering-portal.com,Electrical Engineering Portal (EEP),Engineering Knowledge Base,Power Systems & Substation Design,A+,A+,A+,Technical Article & Tutorial Submission,https://electrical-engineering-portal.com/contact,Edvard Csanyi (Chief Editor),Direct Editorial Contact,Free,UNKNOWN,Contextual resource links to online calculation tools, tables, and reference spreadsheets permitted,/battery/voltage-drop-calculator,"Formulating AC and DC Voltage Drop: Integrating Conductor Circular Mils, Terminal Temperature Ratings (75C vs 90C), and Reactive Impedance",QUALIFIED_PROSPECT,,,,PowerLab Voltage Drop Tool,2026-09-17,"Global reference portal for electrical power engineers, substation designers, and electrical contractors"
data.openei.org,Open Energy Data Initiative (OEDI / OpenEI),Government Research Repository (NREL / DOE),Solar Resource & Building Energy Data,A+,A+,A+,Open Dataset Deposit & Data Cataloging,https://data.openei.org/submit,OpenEI Submissions Team,openei.webmaster@nrel.gov,Free,DOFOLLOW VERIFIED,Open Data repository metadata allows landing page and attribution URLs to data generator,/datasets/50-state-solar-insolation-climatic-benchmark,"Standardized 50-State Solar Insolation, Peak Sun Hours, and ASHRAE Climatic Design Benchmark Dataset Deposit",QUALIFIED_PROSPECT,,,,PowerLab Open Energy Data,2026-09-17,"Official public open data platform of the U.S. Department of Energy, curated by NREL; requires metadata manifest and README"
techrxiv.org,TechRxiv (IEEE Preprint Server),Preprint Repository,Electrical Engineering Preprints,A+,A+,A+,Electrical Engineering Preprint Deposit,https://www.techrxiv.org/,TechRxiv Editorial Board,Preprint Submission Portal,Free,DOFOLLOW VERIFIED,Scholarly open-access preprint DOI; indexes in Google Scholar and Crossref,/research/continuous-duty-thermal-sizing-evse-ampacity,"Continuous-Duty Thermal Sizing, Conductor Terminal Limits, and Branch Circuit Ampacity Requirements for Residential Level 2 EVSE",QUALIFIED_PROSPECT,,,,PowerLab EVSE Preprint,2026-09-17,"IEEE open preprint server; moderated for scholarly technical merit; issues permanent DataCite DOI; fallback to Zenodo if required"
controleng.com,Control Engineering (CFE Media),Industrial Automation Journal,Motors & Industrial Power,A,A,A,Contributed Technical Feature,https://www.controleng.com/contact-us/,CFE Media Editorial Desk,Web Form / Editor,Free,UNKNOWN,Technically objective contributed articles; contextual references to calculation frameworks allowed,/home-energy/generator-size-calculator,"Mitigating Industrial and Commercial Motor Starting Surges: Solid-State Soft Starters vs Variable Frequency Drives in Standby Generator Sizing",QUALIFIED_PROSPECT,,,,PowerLab Generator Tool,2026-09-17,"Core publication for control, instrumentation, and electrical plant engineers; strict anti-promotional review"
peer.asee.org,ASEE PEER & Advances in Engineering Education,Academic Engineering Society,Engineering Education & OER,A,A+,A+,Curriculum Paper & OER Tool Indexing,https://advances.asee.org/,Advances in Engineering Education Editors,Electronic Submission Portal,Free,UNKNOWN,Peer-reviewed educational literature indexing interactive lab workbench URLs as permanent courseware references,/battery/battery-runtime-calculator,"Integrating Zero-Database Interactive Web Engines into Undergraduate Energy Systems and Electrical Apprenticeship Curricula",QUALIFIED_PROSPECT,,,,PowerLab OER Lab Units,2026-09-17,"American Society for Engineering Education; premier venue for engineering curriculum design and interactive lab modules"
asme.org,ASME (American Society of Mechanical Engineers),Professional Engineering Society,Thermal Systems & Energy,A,A,A+,Technical Paper / ME Today Article,https://www.asme.org/topics-resources/content/contribute-an-article-to-me-today,ASME Content Editors,journals@asme.org / Web Submission,Free,UNKNOWN,Academic citations in journal tool; educational links in ME Today articles permitted,/research/heat-pump-cop-degradation-and-auxiliary-heat-kinetics,"Carnot Efficiency Degradation Kinetics and Reverse-Cycle Defrost Entropy Losses in Air-Source Heat Pumps",QUALIFIED_PROSPECT,,,,PowerLab Heat Pump Research,2026-09-17,"Global mechanical and thermal engineering society; distinguishes peer-reviewed research from professional/educational articles"
eepower.com,EEPower (EETech),Power Electronics Media,Battery Management & Power Conversion,A,A+,A,Technical Contributor Article,https://eepower.com/write-for-us/,Editorial Team,Editorial Submission Portal,Free,UNKNOWN,Technical engineering contributor program; contextual references to open engineering tools allowed,/battery/battery-capacity-calculator,"Electrochemical Peukert Capacity Derating Kinetics in Lithium Iron Phosphate vs Lead-Acid Battery Storage",QUALIFIED_PROSPECT,,,,PowerLab Battery Capacity Engine,2026-09-17,"Specialist power electronics and energy storage publication with established technical writer compensation/byline program"
